Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
12/15/2020,Thomas Jefferson,Male,3044,157,43
12/15/2020,Lord Fairfax,Male,3752,254,84
12/15/2020,Three Rivers,Male,1797,99,26
12/15/2020,Richmond,Not Reported,117,1,2
12/15/2020,Pittsylvania-Danville,Male,1814,110,35
12/15/2020,Portsmouth,Not Reported,3,0,0
12/15/2020,Norfolk,Not Reported,16,0,0
12/15/2020,Chesapeake,Male,3671,275,43
12/15/2020,Chickahominy,Female,2149,121,42
12/15/2020,Prince William,Male,12006,758,164
12/15/2020,Eastern Shore,Not Reported,9,0,0
12/15/2020,Eastern Shore,Male,911,83,26
12/15/2020,Rappahannock Rapidan,Male,2868,150,34
12/15/2020,Henrico,Not Reported,116,1,0
12/15/2020,Cumberland Plateau,Female,1989,98,18
12/15/2020,West Piedmont,Male,2465,200,61
12/15/2020,Hampton,Not Reported,21,0,0
12/15/2020,Alexandria,Not Reported,18,0,0
12/15/2020,Western Tidewater,Not Reported,7,0,2
12/15/2020,Cumberland Plateau,Not Reported,157,0,0
12/15/2020,Virginia Beach,Male,6224,304,65
12/15/2020,Alleghany,Female,3551,107,64
12/15/2020,Lenowisco,Female,2014,98,41
12/15/2020,Virginia Beach,Not Reported,76,0,0
12/15/2020,Western Tidewater,Female,3051,174,75
12/15/2020,Mount Rogers,Male,3775,269,85
12/15/2020,Lord Fairfax,Female,4495,228,81
12/15/2020,Piedmont,Not Reported,11,0,0
12/15/2020,Alexandria,Male,2974,219,43
12/15/2020,Pittsylvania-Danville,Not Reported,24,2,1
12/15/2020,West Piedmont,Not Reported,16,2,1
12/15/2020,Loudoun,Female,5986,269,90
12/15/2020,Hampton,Female,1871,65,18
12/15/2020,Henrico,Female,5397,328,147
12/15/2020,Prince William,Not Reported,223,2,0
12/15/2020,Chickahominy,Male,1976,130,38
12/15/2020,Rappahannock Rapidan,Not Reported,262,2,0
09/03/2020,Southside,Not Reported,4,0,0
09/03/2020,Chesapeake,Female,2130,177,22
09/03/2020,Richmond,Female,1994,188,18
09/03/2020,Roanoke,Male,557,19,6
09/03/2020,Fairfax,Not Reported,137,2,5
09/03/2020,Thomas Jefferson,Female,1359,88,30
09/03/2020,Chesapeake,Not Reported,5,0,0
09/03/2020,Cumberland Plateau,Male,264,25,4
09/03/2020,Eastern Shore,Female,735,69,26
09/03/2020,Lord Fairfax,Not Reported,13,0,0
09/03/2020,Rappahannock,Not Reported,7,1,0
09/03/2020,Central Shenandoah,Not Reported,6,0,0
09/03/2020,Peninsula,Male,1848,94,25
09/03/2020,Norfolk,Male,2124,149,33
09/03/2020,Alexandria,Female,1784,138,34
09/03/2020,Lenowisco,Male,369,35,8
09/03/2020,Pittsylvania-Danville,Female,780,61,12
09/03/2020,New River,Not Reported,13,0,0
09/03/2020,Chesterfield,Not Reported,130,0,1
09/03/2020,Loudoun,Male,2972,218,46
09/03/2020,Rappahannock Rapidan,Female,1197,64,12
09/03/2020,Piedmont,Female,553,51,10
09/03/2020,Richmond,Male,1983,186,29
09/03/2020,Crater,Female,1410,135,39
09/03/2020,Portsmouth,Female,1249,102,23
09/03/2020,Arlington,Not Reported,6,0,0
09/03/2020,Mount Rogers,Not Reported,13,0,1
